"customer_id","recency","frequency","monetary","rfm_score","r_score","f_score","m_score","total_score","rfm_segmenting"
"8581","4","20","751","554",5,5,4,14,"Loyalist"
"8755","4","17","1196","545",5,4,5,14,"Loyalist"
"9504","4","24","1008","554",5,5,4,14,"Loyalist"
"850","4","20","757","554",5,5,4,14,"Loyalist"
"1945","4","18","1400","545",5,4,5,14,"Loyalist"
"3799","4","20","868","554",5,5,4,14,"Loyalist"
"1349","4","7","148","522",5,2,2,9,"Potential Loyalist"
"2130","4","7","147","522",5,2,2,9,"Potential Loyalist"
"6815","4","21","809","554",5,5,4,14,"Loyalist"
"2404","4","10","257","533",5,3,3,11,"Potential Loyalist"
"254","4","15","473","543",5,4,3,12,"Loyalist"
"7233","4","14","1782","535",5,3,5,13,"Big Spender"
"2534","4","8","188","522",5,2,2,9,"Potential Loyalist"
"8920","4","25","1128","554",5,5,4,14,"Loyalist"
"3025","4","12","306","533",5,3,3,11,"Potential Loyalist"
"8619","4","3","22","511",5,1,1,7,"New Customer"
"8430","4","3","22","511",5,1,1,7,"New Customer"
"8996","4","17","603","543",5,4,3,12,"Loyalist"
"2296","4","3","30","511",5,1,1,7,"New Customer"
"10832","4","13","467","533",5,3,3,11,"Potential Loyalist"
"2429","4","17","1338","545",5,4,5,14,"Loyalist"
"10177","4","17","1338","545",5,4,5,14,"Loyalist"
"6310","4","6","78","522",5,2,2,9,"Potential Loyalist"
"7685","4","6","78","522",5,2,2,9,"Potential Loyalist"
"5172","4","15","1053","544",5,4,4,13,"Loyalist"
"4477","4","17","653","544",5,4,4,13,"Loyalist"
"6715","3","19","685","544",5,4,4,13,"Loyalist"
"4827","3","15","455","543",5,4,3,12,"Loyalist"
"8278","3","15","1711","535",5,3,5,13,"Big Spender"
"4470","3","7","140","522",5,2,2,9,"Potential Loyalist"
"1631","3","19","1282","545",5,4,5,14,"Loyalist"
"10914","3","4","17","511",5,1,1,7,"New Customer"
"9612","3","4","43","511",5,1,1,7,"New Customer"
"4098","3","6","44","521",5,2,1,8,"New Customer"
"873","3","17","1178","545",5,4,5,14,"Loyalist"
"1041","3","14","424","533",5,3,3,11,"Potential Loyalist"
"10582","3","19","758","544",5,4,4,13,"Loyalist"
"8461","3","3","16","511",5,1,1,7,"New Customer"
"4452","3","13","372","533",5,3,3,11,"Potential Loyalist"
"4399","3","15","1091","544",5,4,4,13,"Loyalist"
"4002","3","26","1123","554",5,5,4,14,"Loyalist"
"8601","3","19","1395","545",5,4,5,14,"Loyalist"
"9888","3","15","1091","534",5,3,4,12,"Potential Loyalist"
"3878","3","4","48","511",5,1,1,7,"New Customer"
"7279","3","14","1044","534",5,3,4,12,"Potential Loyalist"
"6379","3","6","121","522",5,2,2,9,"Potential Loyalist"
"158","3","16","1196","545",5,4,5,14,"Loyalist"
"3896","3","4","37","511",5,1,1,7,"New Customer"
"9970","3","8","162","522",5,2,2,9,"Potential Loyalist"
"6183","3","7","140","522",5,2,2,9,"Potential Loyalist"
"4491","3","17","1178","545",5,4,5,14,"Loyalist"
"10676","3","18","1173","544",5,4,4,13,"Loyalist"
"4785","3","20","714","544",5,4,4,13,"Loyalist"
"10286","2","23","926","554",5,5,4,14,"Loyalist"
"3112","2","4","24","511",5,1,1,7,"New Customer"
"1619","2","16","1588","545",5,4,5,14,"Loyalist"
"6398","2","6","50","521",5,2,1,8,"New Customer"
"1857","2","5","83","512",5,1,2,8,"New Customer"
"3887","2","5","106","512",5,1,2,8,"New Customer"
"7919","2","22","2092","555",5,5,5,15,"Loyalist"
"10623","2","4","32","511",5,1,1,7,"New Customer"
"9080","2","6","73","522",5,2,2,9,"Potential Loyalist"
"1519","2","6","73","522",5,2,2,9,"Potential Loyalist"
"5332","2","16","1066","544",5,4,4,13,"Loyalist"
"5341","2","13","1588","535",5,3,5,13,"Big Spender"
"1772","2","18","2043","545",5,4,5,14,"Loyalist"
"6287","2","4","36","511",5,1,1,7,"New Customer"
"7990","2","3","17","511",5,1,1,7,"New Customer"
"4865","2","14","400","533",5,3,3,11,"Potential Loyalist"
"4405","2","21","789","554",5,5,4,14,"Loyalist"
"10352","2","6","117","522",5,2,2,9,"Potential Loyalist"
"4877","2","4","41","511",5,1,1,7,"New Customer"
"7264","2","3","17","511",5,1,1,7,"New Customer"
"5510","2","13","441","533",5,3,3,11,"Potential Loyalist"
"9999","2","22","1040","554",5,5,4,14,"Loyalist"
"4114","2","28","1693","555",5,5,5,15,"Loyalist"
"4246","2","2","373","513",5,1,3,9,"New Customer"
"7022","2","20","1410","555",5,5,5,15,"Loyalist"
"3066","2","10","231","533",5,3,3,11,"Potential Loyalist"
"1992","2","12","893","534",5,3,4,12,"Potential Loyalist"
"4867","2","7","88","522",5,2,2,9,"Potential Loyalist"
"5585","1","5","48","511",5,1,1,7,"New Customer"
"9264","1","21","1638","555",5,5,5,15,"Loyalist"
"7030","1","32","1485","555",5,5,5,15,"Loyalist"
"3158","1","4","39","511",5,1,1,7,"New Customer"
"7962","1","11","1901","535",5,3,5,13,"Big Spender"
"8805","1","13","371","533",5,3,3,11,"Potential Loyalist"
"2681","1","18","461","543",5,4,3,12,"Loyalist"
"340","1","17","497","543",5,4,3,12,"Loyalist"
"3657","1","8","165","522",5,2,2,9,"Potential Loyalist"
"8890","1","11","272","533",5,3,3,11,"Potential Loyalist"
"3725","1","15","1688","535",5,3,5,13,"Big Spender"
"453","1","5","45","521",5,2,1,8,"New Customer"
"9687","1","15","726","534",5,3,4,12,"Potential Loyalist"
"3068","1","5","43","521",5,2,1,8,"New Customer"
"3767","1","22","1008","554",5,5,4,14,"Loyalist"
"1241","1","4","51","511",5,1,1,7,"New Customer"
"5740","1","5","56","522",5,2,2,9,"Potential Loyalist"
